Date,Open,High,Low,Close,Volume,Adj Close,,
6/29/2010,19,25,17.54,23.889999,18766300,23.889999,,
6/30/2010,25.79,30.42,23.299999,23.83,17187100,23.83,,
7/1/2010,25,25.92,20.27,21.95999999,8218800,21.9599999,,
7/2/2010,23,23.1,18.71,19.2,5139800,19.2,,
7/6/2010,20,20,15.83,16.11,6866900,16.11,,
7/7/2010,16.4,16.62,14.98,15.8,6921700,15.8,,
7/8/2010,16.139999,17.52,15.59,17.4599999,7711400,17.4599999,,
7/9/2010,17.58,17.9,16.55,17.4,4050600,17.4,,
7/12/2010,17.95,18.07,17,17.04999999,2202500,17.0499999,,
7/13/2010,17.389999,18.63,16.9,19.1399999,2680100,18.13999999,,
7/14/2010,17.94,18.32,17.34,17.92,5846300,17.92,,
7/15/2010,18.08,18.3,17.0499999,17.28,2711800,17.28,,
7/16/2010,17.459999,17.9,16.5,16.61,3011000,16.61,,
7/19/2010,16.9,18.3,16.33,18.26,3981200,18.26,,
7/20/2010,18.58,18.48,17.799999,18.04999999,2395900,18.0499999,,
7/21/2010,18.2,18.79,17.57,17.78,1927700,17.78,,
7/22/2010,18.19,18.19,17.15,17.85,1577900,17.85,,
7/23/2010,17.58,18.12,17.52,18.33,1447000,18.33,,
7/26/2010,18.37,18.89,18.52,18.76,1501700,18.76,,
7/27/2010,18.61,18.87,17.93,18.19,1049200,18.19,,
7/28/2010,18.35,18.9,18.32,18.64,1232800,18.64,,
7/29/2010,18.6,18.64,17.5,17.6,1413800,17.6,,
7/30/2010,17.58,17.85,17.5499999,17.7199999,1121900,17.71999999,,
8/2/2010,17.95,17.08,17.73,17.99,771700,17.99,,
8/3/2010,18,18.78,17.85,18.4,1315700,18.4,,
8/4/2010,18.57,18.75,18.25,18.32,940700,18.32,,
8/5/2010,18.45,18.74,18.25,18.45,940900,18.45,,
8/6/2010,18.32,18.35,17.52,17.8899999,1010800,17.8899999,,
8/9/2010,18.2,18.8,18.12,18.75,1118100,18.75,,
8/10/2010,18.99,18.99,17.92,17.94,1085000,17.94,,
8/11/2010,17.799999,18.15,17.3,17.49,1071200,17.49,,
8/12/2010,17.1,17.48,16.85,16.959999,1227500,16.959999,,
8/13/2010,17.08,17.22,16.65,17.01,652000,17.01,,
8/16/2010,16.79,17.1,16.52,16.65,788800,16.65,,dddd
8/17/2010,16.33,16.87,16.07,16.19,897100,16.19,,
8/18/2010,16.75,16.85,16.12,16.67,751500,16.67,,
8/19/2010,16.2,16.75,16.2,16.35,539900,16.35,,
8/20/2010,16.4,16.48,16.15,16.25,329800,16.25,,
8/23/2010,16,16.6,16.01,16.07,432100,16.07,,
8/24/2010,15.89,16,15.57,15.77,435500,15.77,,
8/25/2010,16.6299999,16.65,15.3,16.5499999,694300,16.5499999,,
8/26/2010,16.82,16.9,16.26,16.66,577000,16.66,,
8/27/2010,17.02,16.95,16.5,16.799999,449000,16.79999999,,
8/30/2010,16.57,17.33,16.6,16.7,514200,16.7,,
8/31/2010,16.799999,16.78,16.25,16.67,317700,16.67,,
9/1/2010,17.1,17.15,16.58,16.99,477900,16.99,,
9/2/2010,17.1299999,17.32,16.9,17.04999999,355100,17.04999999,,
9/3/2010,17.33,17.4,16.95,17.37,363400,17.37,,
8/7/2010,17.26,17.58,17.02,17.0499999,287400,17.04999999,,
8/8/2010,17.4,17.48,17.15,17.299999,279300,17.2999999,,
8/9/2010,17.19,17.59,17.09,17.19,235500,17.19,,"9/8/2010,17.260000,17.48,17.150000,17.299999,279300,17.299999"
8/10/2010,,17.35,16.85,17.05,261300,17.05,,
8/11/2010,,,,,,,,
8/24/2010,,,,,,,,
8/25/2010,,,,,,,,
8/26/2010,,,,,,,,
8/27/2010,,,,,,,,
8/28/2010,,,,,,,,
8/29/2010,,,,,,,,
8/30/2010,,,,,,,,
8/31/2010,,,,,,,,
9/1/2010,,,,,,,,
9/2/2010,,,,,,,,
9/3/2010,,,,,,,,
9/4/2010,,,,,,,,
9/5/2010,,,,,,,,
9/6/2010,,,,,,,,
9/7/2010,,,,,,,,
9/8/2010,,,,,,,,
9/9/2010,,,,,,,,
9/10/2010,,,,,,,,
9/11/2010,,,,,,,,
9/12/2010,,,,,,,,
9/13/2010,,,,,,,,
9/14/2010,,,,,,,,
9/15/2010,,,,,,,,
9/16/2010,,,,,,,,
9/17/2010,,,,,,,,
9/18/2010,,,,,,,,
9/19/2010,,,,,,,,
9/20/2010,,,,,,,,
9/21/2010,,,,,,,,
9/22/2010,,,,,,,,
9/23/2010,,,,,,,,
9/24/2010,,,,,,,,
9/25/2010,,,,,,,,
9/26/2010,,,,,,,,
9/27/2010,,,,,,,,
9/28/2010,,,,,,,,
9/29/2010,,,,,,,,
9/30/2010,,,,,,,,
10/1/2010,,,,,,,,
10/2/2010,,,,,,,,
10/3/2010,,,,,,,,
10/4/2010,,,,,,,,
10/5/2010,,,,,,,,
10/6/2010,,,,,,,,
10/7/2010,,,,,,,,
10/8/2010,,,,,,,,
10/9/2010,,,,,,,,
10/10/2010,,,,,,,,
10/11/2010,,,,,,,,
10/12/2010,,,,,,,,
10/13/2010,,,,,,,,
10/14/2010,,,,,,,,
10/15/2010,,,,,,,,
10/16/2010,,,,,,,,
10/17/2010,,,,,,,,
10/18/2010,,,,,,,,
10/19/2010,,,,,,,,
10/20/2010,,,,,,,,
10/21/2010,,,,,,,,
10/22/2010,,,,,,,,
10/23/2010,,,,,,,,
10/24/2010,,,,,,,,
10/25/2010,,,,,,,,
10/26/2010,,,,,,,,
10/27/2010,,,,,,,,
10/28/2010,,,,,,,,
10/29/2010,,,,,,,,
10/30/2010,,,,,,,,
10/31/2010,,,,,,,,
11/1/2010,,,,,,,,
11/2/2010,,,,,,,,
11/3/2010,,,,,,,,
11/4/2010,,,,,,,,
11/5/2010,,,,,,,,
11/6/2010,,,,,,,,
11/7/2010,,,,,,,,
11/8/2010,,,,,,,,
11/9/2010,,,,,,,,
11/10/2010,,,,,,,,
11/11/2010,,,,,,,,
11/12/2010,,,,,,,,
11/13/2010,,,,,,,,
11/14/2010,,,,,,,,
11/15/2010,,,,,,,,
11/16/2010,,,,,,,,
11/17/2010,,,,,,,,
11/18/2010,,,,,,,,
11/19/2010,,,,,,,,
11/20/2010,,,,,,,,
11/21/2010,,,,,,,,
11/22/2010,,,,,,,,
11/23/2010,,,,,,,,
11/24/2010,,,,,,,,
11/25/2010,,,,,,,,
11/26/2010,,,,,,,,
11/27/2010,,,,,,,,
11/28/2010,,,,,,,,
11/29/2010,,,,,,,,
11/30/2010,,,,,,,,
12/1/2010,,,,,,,,
12/2/2010,,,,,,,,
12/3/2010,,,,,,,,
12/4/2010,,,,,,,,
12/5/2010,,,,,,,,
12/6/2010,,,,,,,,
12/7/2010,,,,,,,,
12/8/2010,,,,,,,,
12/9/2010,,,,,,,,
12/10/2010,,,,,,,,
12/11/2010,,,,,,,,
12/12/2010,,,,,,,,
12/13/2010,,,,,,,,
12/14/2010,,,,,,,,
12/15/2010,,,,,,,,
12/16/2010,,,,,,,,
12/17/2010,,,,,,,,
12/18/2010,,,,,,,,
12/19/2010,,,,,,,,
12/20/2010,,,,,,,,
12/21/2010,,,,,,,,
12/22/2010,,,,,,,,
12/23/2010,,,,,,,,
12/24/2010,,,,,,,,
12/25/2010,,,,,,,,
12/26/2010,,,,,,,,
12/27/2010,,,,,,,,
12/28/2010,,,,,,,,
12/29/2010,,,,,,,,
12/30/2010,,,,,,,,
12/31/2010,,,,,,,,
1/1/2011,,,,,,,,
1/2/2011,,,,,,,,
1/3/2011,,,,,,,,
1/4/2011,,,,,,,,
1/5/2011,,,,,,,,
1/6/2011,,,,,,,,
1/7/2011,,,,,,,,
1/8/2011,,,,,,,,
1/9/2011,,,,,,,,
1/10/2011,,,,,,,,
1/11/2011,,,,,,,,
1/12/2011,,,,,,,,
1/13/2011,,,,,,,,
1/14/2011,,,,,,,,
1/15/2011,,,,,,,,
1/16/2011,,,,,,,,
1/17/2011,,,,,,,,
1/18/2011,,,,,,,,
1/19/2011,,,,,,,,
1/20/2011,,,,,,,,
1/21/2011,,,,,,,,
1/22/2011,,,,,,,,
1/23/2011,,,,,,,,
1/24/2011,,,,,,,,
1/25/2011,,,,,,,,
1/26/2011,,,,,,,,
1/27/2011,,,,,,,,
1/28/2011,,,,,,,,
1/29/2011,,,,,,,,
1/30/2011,,,,,,,,
1/31/2011,,,,,,,,
2/1/2011,,,,,,,,
